epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1357,1.91109,3.91688,2.04913,0.71489,0.03066,0.1111,0.03918,2.17996,3.61455,2.25023,0.000410714,0.000410714,0.000410714
2,48.7326,1.9314,3.3586,2.0381,0.17102,0.32031,0.14392,0.04777,2.25509,4.12633,2.56458,0.000806903,0.000806903,0.000806903
3,72.1478,1.97136,3.06166,2.06192,0.0991,0.15029,0.05887,0.01694,2.75488,3.61863,2.83282,0.00118247,0.00118247,0.00118247
4,95.5975,1.94441,2.96535,2.04978,0.44806,0.1461,0.12287,0.04572,2.23474,4.03662,2.60326,0.00115719,0.00115719,0.00115719
5,118.507,1.93418,2.79596,2.04555,0.34837,0.25915,0.19786,0.07062,2.20733,3.15846,2.491,0.00112625,0.00112625,0.00112625
6,142.274,1.91514,2.66845,2.02337,0.34331,0.31958,0.26294,0.099,2.11051,2.68661,2.27423,0.00109531,0.00109531,0.00109531
7,165.195,1.86058,2.49373,1.97007,0.40806,0.38834,0.33888,0.13071,2.12127,2.63084,2.38995,0.00106437,0.00106437,0.00106437
8,187.261,1.84249,2.39139,1.95283,0.48886,0.36388,0.37527,0.14991,2.07784,2.59494,2.32158,0.00103344,0.00103344,0.00103344
9,210.064,1.83253,2.32763,1.94739,0.56404,0.30904,0.31349,0.11479,2.16352,2.8634,2.48421,0.0010025,0.0010025,0.0010025
10,233.072,1.81693,2.30086,1.94119,0.40397,0.39688,0.37474,0.14657,2.03837,2.42184,2.16728,0.000971562,0.000971562,0.000971562
11,255.907,1.82012,2.23761,1.92112,0.49457,0.40791,0.42082,0.16443,2.04098,2.24568,2.16767,0.000940625,0.000940625,0.000940625
12,277.769,1.76638,2.16931,1.88468,0.53883,0.42744,0.46079,0.18998,1.9879,2.37895,2.1813,0.000909688,0.000909688,0.000909688
13,300.923,1.76435,2.09645,1.86806,0.54734,0.42592,0.46808,0.18746,2.08171,2.22476,2.29528,0.00087875,0.00087875,0.00087875
14,324.254,1.752,2.03485,1.87287,0.5887,0.46962,0.50375,0.21736,1.94757,2.17554,2.13929,0.000847813,0.000847813,0.000847813
15,347.398,1.73273,2.01077,1.84571,0.56917,0.4938,0.52815,0.21331,2.00471,2.22849,2.15099,0.000816875,0.000816875,0.000816875
16,369.505,1.71733,1.91173,1.83142,0.60964,0.5092,0.56952,0.23671,1.93264,1.95962,2.08667,0.000785938,0.000785938,0.000785938
17,392.44,1.69482,1.87315,1.79883,0.66381,0.52894,0.57967,0.24693,1.94993,1.95993,2.1448,0.000755,0.000755,0.000755
18,416.74,1.6831,1.83317,1.80001,0.61051,0.54012,0.59392,0.25582,1.87023,1.98157,2.07707,0.000724062,0.000724062,0.000724062
19,439.81,1.67529,1.82792,1.79657,0.6893,0.5664,0.62033,0.27522,1.89145,1.85388,2.05682,0.000693125,0.000693125,0.000693125
20,462.681,1.65628,1.78114,1.77777,0.67655,0.59459,0.64284,0.28525,1.90831,1.75375,2.07963,0.000662188,0.000662188,0.000662188
21,484.649,1.65242,1.76174,1.77609,0.70892,0.5369,0.63879,0.28577,1.86259,1.78073,2.0563,0.00063125,0.00063125,0.00063125
22,507.816,1.61418,1.65687,1.73892,0.68397,0.61839,0.67431,0.29463,1.90676,1.74933,2.07737,0.000600313,0.000600313,0.000600313
23,530.638,1.612,1.64829,1.74344,0.77566,0.5859,0.68669,0.32059,1.84612,1.77567,2.03256,0.000569375,0.000569375,0.000569375
24,553.638,1.61203,1.61701,1.74377,0.7316,0.63101,0.70464,0.33004,1.81207,1.61244,1.9567,0.000538438,0.000538438,0.000538438
25,575.791,1.58282,1.61676,1.73369,0.7428,0.62518,0.72462,0.328,1.84437,1.59255,2.00593,0.0005075,0.0005075,0.0005075
26,598.857,1.56727,1.53107,1.69902,0.74402,0.58921,0.68001,0.31887,1.81631,1.67191,2.01635,0.000476562,0.000476562,0.000476562
27,621.829,1.59635,1.57931,1.72157,0.7718,0.6287,0.73793,0.33804,1.82581,1.54071,2.00057,0.000445625,0.000445625,0.000445625
28,644.709,1.55235,1.52055,1.69475,0.7699,0.67062,0.75014,0.35473,1.76996,1.50887,1.95546,0.000414688,0.000414688,0.000414688
29,666.737,1.54581,1.447,1.66874,0.76359,0.66357,0.73805,0.35605,1.81554,1.53746,1.96018,0.00038375,0.00038375,0.00038375
30,690.081,1.50372,1.46573,1.63407,0.7949,0.72373,0.77303,0.37178,1.80171,1.46245,1.96525,0.000352812,0.000352812,0.000352812
31,714.928,1.53784,1.32767,1.75859,0.78371,0.66276,0.7389,0.35516,1.82717,1.57433,2.02595,0.000321875,0.000321875,0.000321875
32,738.359,1.47675,1.21244,1.69329,0.70519,0.70346,0.74066,0.36534,1.75789,1.44951,1.94479,0.000290937,0.000290937,0.000290937
33,759.871,1.46002,1.13373,1.65852,0.79425,0.68214,0.76401,0.37719,1.79528,1.41806,1.93567,0.00026,0.00026,0.00026
34,781.876,1.44463,1.09532,1.65702,0.7909,0.7182,0.78285,0.39038,1.74047,1.38614,1.92867,0.000229063,0.000229063,0.000229063
35,803.956,1.41548,1.05881,1.6468,0.81249,0.74896,0.80697,0.40876,1.73605,1.3639,1.94019,0.000198125,0.000198125,0.000198125
36,826.075,1.3874,1.03616,1.6262,0.82699,0.72492,0.79473,0.40352,1.72267,1.33119,1.90562,0.000167188,0.000167188,0.000167188
37,847.451,1.37222,1.03651,1.61801,0.80358,0.76121,0.80485,0.41595,1.70784,1.33438,1.89517,0.00013625,0.00013625,0.00013625
38,869.35,1.3612,0.9878,1.59724,0.82885,0.77242,0.81945,0.41919,1.6874,1.30858,1.88289,0.000105312,0.000105312,0.000105312
39,891.672,1.31911,0.95131,1.56146,0.8399,0.75993,0.81838,0.42601,1.6947,1.29349,1.88154,7.4375e-05,7.4375e-05,7.4375e-05
40,912.87,1.30084,0.96022,1.55755,0.81107,0.77097,0.82174,0.43065,1.68125,1.27594,1.87523,4.34375e-05,4.34375e-05,4.34375e-05
